key	target
01564c52-8717-47dc-8efd-907a2ca18301	cf/01564c52-8717-47dc-8efd-907a2ca18301
01bc2fb0-4bca-4598-b985-d2584a3f46c0	cf/01bc2fb0-4bca-4598-b985-d2584a3f46c0
02c16efa-29f5-4304-8e6c-3d188889f875	cf/02c16efa-29f5-4304-8e6c-3d188889f875
053d5ac0-861b-4d3b-8501-e58d00417ef8	cf/053d5ac0-861b-4d3b-8501-e58d00417ef8
06455e78-19f7-487b-93cd-c05a3dd07813	cf/06455e78-19f7-487b-93cd-c05a3dd07813
081054cd-a254-4349-855e-6dc0996277fa	cf/081054cd-a254-4349-855e-6dc0996277fa
09d113a9-03c4-420e-b6f2-52ad4b3bed45	cf/09d113a9-03c4-420e-b6f2-52ad4b3bed45
0e372c11-8720-46c9-a02d-666188a22dae	cf/0e372c11-8720-46c9-a02d-666188a22dae
0f002249-7d86-4698-aabf-8529ed86cefb	cf/0f002249-7d86-4698-aabf-8529ed86cefb
145337e7-cec3-4ebb-8e78-16ddfc75e580	cf/145337e7-cec3-4ebb-8e78-16ddfc75e580
15631501-2742-4346-a469-22fe202188a2	cf/15631501-2742-4346-a469-22fe202188a2
188a4e1e-253e-46d0-9616-0bf8c149763f	cf/188a4e1e-253e-46d0-9616-0bf8c149763f
19547f04-7a6a-4f87-bf2c-f5e32fb12dc5	cf/19547f04-7a6a-4f87-bf2c-f5e32fb12dc5
19bd38eb-bcda-4e53-bec2-704b4689b43a	cf/19bd38eb-bcda-4e53-bec2-704b4689b43a
1d933df3-680f-4280-940d-da87435edb07	cf/1d933df3-680f-4280-940d-da87435edb07
1dc9e589-df6b-4e66-ac9f-ceff42d64983	cf/1dc9e589-df6b-4e66-ac9f-ceff42d64983
1f55679f-009e-4456-aa4f-049a62b4b6a0	cf/1f55679f-009e-4456-aa4f-049a62b4b6a0
200f0812-148c-48c1-915d-fb3277a94a08	cf/200f0812-148c-48c1-915d-fb3277a94a08
2169496d-9c0e-4e49-8399-c44ee66bff7d	cf/2169496d-9c0e-4e49-8399-c44ee66bff7d
2cbc033b-ded8-4e02-bbb2-47cf05d5cfe5	cf/2cbc033b-ded8-4e02-bbb2-47cf05d5cfe5
31097538-a3ff-4e6e-bb56-ad0e1f428b61	cf/31097538-a3ff-4e6e-bb56-ad0e1f428b61
31690291-ebdc-4f98-bcfc-a44844e215b7	cf/31690291-ebdc-4f98-bcfc-a44844e215b7
3222ddb3-e211-4fd9-9a6d-79a80e47b3a6	cf/3222ddb3-e211-4fd9-9a6d-79a80e47b3a6
328adb49-4a7d-43e3-a2d5-802ae8100fe7	cf/328adb49-4a7d-43e3-a2d5-802ae8100fe7
337170b7-bd2f-4631-9a57-688b579cf6d3	cf/337170b7-bd2f-4631-9a57-688b579cf6d3
3976bab8-3810-4ad8-8580-ab1e22de7823	cf/3976bab8-3810-4ad8-8580-ab1e22de7823
3ae8936e-593e-4fb2-85ee-95dd8a057588	cf/3ae8936e-593e-4fb2-85ee-95dd8a057588
3dca5889-db3e-4973-aa0c-3a4a6bd22d29	cf/3dca5889-db3e-4973-aa0c-3a4a6bd22d29
3dcb4f2d-26a8-412b-b6e3-2a368beff66b	cf/3dcb4f2d-26a8-412b-b6e3-2a368beff66b
4090e54c-eee4-4221-b410-10c1c0f92f17	cf/4090e54c-eee4-4221-b410-10c1c0f92f17
41ca173f-72d5-4420-8915-49e835d2676e	cf/41ca173f-72d5-4420-8915-49e835d2676e
429b9e8b-d99e-44de-91ad-706cf8183658	cf/429b9e8b-d99e-44de-91ad-706cf8183658
43dbadb4-2b0a-47e9-8479-34a49b971f1e	cf/43dbadb4-2b0a-47e9-8479-34a49b971f1e
44774b85-08c8-4bb8-8d2a-b06ebc538a79	cf/44774b85-08c8-4bb8-8d2a-b06ebc538a79
48dd2443-0c61-43b2-8894-22abddf1b081	cf/48dd2443-0c61-43b2-8894-22abddf1b081
4c3a544e-da47-4336-9cea-c7cbfab33f16	cf/4c3a544e-da47-4336-9cea-c7cbfab33f16
51b71d5b-8bc0-4489-a107-95e542b69914	cf/51b71d5b-8bc0-4489-a107-95e542b69914
57fbd08a-a4c4-411c-910d-b9459ff36c20	cf/57fbd08a-a4c4-411c-910d-b9459ff36c20
5cdffa8e-1b1e-48e8-85f1-ab9b943cdd32	cf/5cdffa8e-1b1e-48e8-85f1-ab9b943cdd32
60474554-f03b-4ff4-8ecc-c1b7c71d7b29	cf/60474554-f03b-4ff4-8ecc-c1b7c71d7b29
60920ed4-cf72-449a-a0f3-a38456b78262	cf/60920ed4-cf72-449a-a0f3-a38456b78262
617e7ec3-bf8d-4088-a863-4f89582d91b5	cf/617e7ec3-bf8d-4088-a863-4f89582d91b5
673c56cc-8553-49a1-b179-dd549ec9209a	cf/673c56cc-8553-49a1-b179-dd549ec9209a
6d52253a-b731-4a03-b203-cde2d4fae871	cf/6d52253a-b731-4a03-b203-cde2d4fae871
724608fa-983e-495d-b95c-340d6b7e78be	cf/724608fa-983e-495d-b95c-340d6b7e78be
7912c0ab-542e-44b9-b9ee-3113d226a8b5	cf/7912c0ab-542e-44b9-b9ee-3113d226a8b5
7952d0cc-cb00-4e10-be02-667565c2ee0f	cf/7952d0cc-cb00-4e10-be02-667565c2ee0f
