key	target
claude-haiku-4.5	github/claude-haiku-4.5
claude-opus-4.1	github/claude-opus-41
claude-opus-4.5	github/claude-opus-4.5
claude-opus-4.6	github/claude-opus-4.6
claude-opus-4.7	github/claude-opus-4.7
claude-opus-41	github/claude-opus-41
claude-sonnet-4	github/claude-sonnet-4
claude-sonnet-4.5	github/claude-sonnet-4.5
claude-sonnet-4.6	github/claude-sonnet-4.6
gemini-2.5-flash	gemini-cli/gemini-2.5-flash
gemini-2.5-flash-lite	gemini-cli/gemini-2.5-flash-lite
gemini-2.5-pro	gemini-cli/gemini-2.5-pro
gemini-3-flash-preview	gemini-cli/gemini-3-flash-preview
gemini-3-pro-high	antigravity/gemini-3-pro-preview
gemini-3-pro-low	antigravity/gemini-3.1-pro-low
gemini-3-pro-preview	gemini-cli/gemini-3-pro-preview
gemini-3.1-flash-lite-preview	gemini-cli/gemini-3.1-flash-lite-preview
gemini-3.1-pro	gemini-cli/gemini-3.1-pro-preview
gemini-3.1-pro-preview	gemini-cli/gemini-3.1-pro-preview
gemini-3.1-pro-preview-customtools	antigravity/gemini-3-pro-preview
gpt-3.5-turbo	cx/gpt-3.5-turbo
gpt-4	cx/gpt-4
gpt-4-turbo	cx/gpt-4-turbo
gpt-4.1	cx/gpt-4.1
gpt-4.1-mini	cx/gpt-4.1-mini
gpt-4.1-nano	cx/gpt-4.1-nano
gpt-4o	cx/gpt-4o
gpt-4o-mini	cx/gpt-4o-mini
gpt-5	cx/gpt-5
gpt-5-codex	cx/gpt-5-codex
gpt-5-mini	cx/gpt-5-mini
gpt-5-nano	cx/gpt-5-nano
gpt-5-pro	cx/gpt-5-pro
gpt-5.1	cx/gpt-5.1
gpt-5.1-codex	cx/gpt-5.1-codex
gpt-5.1-codex-max	cx/gpt-5.1-codex-max
gpt-5.1-codex-mini	cx/gpt-5.1-codex-mini
gpt-5.2	cx/gpt-5.2
gpt-5.2-codex	cx/gpt-5.2-codex
gpt-5.2-pro	cx/gpt-5.2-pro
gpt-5.3-codex	cx/gpt-5.3-codex
gpt-5.4	cx/gpt-5.4
gpt-5.4-mini	cx/gpt-5.4-mini
gpt-5.4-nano	cx/gpt-5.4-nano
gpt-5.4-pro	cx/gpt-5.4-pro
gpt-5.5	cx/gpt-5.5
gpt-5.5-pro	cx/gpt-5.5-pro
o1	cx/o1
o1-pro	cx/o1-pro
o3	cx/o3
o3-mini	cx/o3-mini
o3-pro	cx/o3-pro
o4-mini	cx/o4-mini
